"","MAD"
"nbr.val",6
"nbr.null",0
"nbr.na",0
"min",0.05198
"max",0.67381
"range",0.62183
"sum",1.57433
"median",0.2317
"mean",0.26239
"SE.mean",0.09182
"CI.mean.0.95",0.23602
"var",0.05058
"std.dev",0.2249
"coef.var",0.85713
